TEAM,CONF W,CONF L,OVERALL W,OVERALL L
UCF,8,0,12,1
Louisville,7,1,12,1
Cincinnati,6,2,9,4
Houston,5,3,8,5
SMU,4,4,5,7
Connecticut,3,5,3,9
Rutgers,3,5,6,7
South Florida,2,6,2,10
Temple,1,7,2,10
Memphis,1,7,3,9
Florida State,8,0,14,0
Clemson,7,1,11,2
Syracuse,4,4,7,6
Boston College,4,4,7,6
Maryland,3,5,7,6
Wake Forest,2,6,4,8
North Carolina State,0,8,3,9
Duke,6,2,10,4
Virginia Tech,5,3,8,5
Miami (FL),5,3,9,4
Georgia Tech,5,3,7,6
North Carolina,4,4,7,6
Pittsburgh,3,5,7,6
Virginia,0,8,2,10
Baylor,8,1,11,2
Oklahoma,7,2,11,2
Oklahoma State,7,2,10,3
Texas,7,2,8,5
Kansas State,5,4,8,5
Texas Tech,4,5,8,5
West Virginia,2,7,4,8
TCU,2,7,4,8
Iowa State,2,7,3,9
Kansas,1,8,3,9
Michigan State,8,0,13,1
Iowa,5,3,8,5
Nebraska,5,3,9,4
Minnesota,4,4,8,5
Michigan,3,5,7,6
Northwestern,1,7,5,7
Kansas,1,8,3,9
Michigan State,8,0,13,1
Iowa,5,3,8,5
Nebraska,5,3,9,4
Minnesota,4,4,8,5
Michigan,3,5,7,6
Northwestern,1,7,5,7
Ohio State,8,0,12,2
Wisconsin,6,2,9,4
Penn State,4,4,7,5
Indiana,3,5,5,7
Illinois,1,7,4,8
Purdue,0,8,1,11
Marshall,7,1,10,4
East Carolina,6,2,10,3
Middle Tennessee,6,2,8,5
Florida Atlantic,4,4,6,6
UAB,1,7,2,10
Southern Miss,1,7,1,11
Florida International,1,7,1,11
Rice,7,1,10,4
UTSA,6,2,7,5
North Texas,6,2,9,4
Tulane,5,3,7,6
Louisiana Tech,3,5,4,8
Tulsa,2,6,3,9
UTEP,1,7,2,10
Notre Dame,0,0,9,4
Navy,0,0,9,4
Old Dominion,0,0,8,4
BYU,0,0,8,5
Army,0,0,3,9
New Mexico State,0,0,2,10
Idaho,0,0,1,11
Bowling Green,7,1,10,4
Buffalo,6,2,8,5
Ohio,4,4,7,6
Akron,4,4,5,7
Kent State,3,5,4,8
Massachusetts,1,7,1,11
Miami (OH),0,8,0,12
Northern Illinois,8,0,12,2
Ball State,7,1,10,3
Toledo,5,3,7,5
Central Michigan,5,3,6,6
Eastern Michigan,1,7,2,10
Western Michigan,1,7,1,11
Fresno State,7,1,11,2
San Diego State,6,2,8,5
San José St,5,3,6,6
UNLV,5,3,7,6
Nevada,3,5,4,8
Hawaii,0,8,1,11
Utah State,7,1,9,5
Boise State,6,2,8,5
Colorado State,5,3,8,6
Wyoming,3,5,5,7
New Mexico,1,7,3,9
Air Force,0,8,2,10
Stanford,7,2,11,3
Oregon,7,2,11,2
Washington,5,4,9,4
Oregon State,4,5,7,6
Washington State,4,5,6,7
California,0,9,1,11
Arizona State,8,1,10,4
UCLA,6,3,10,3
USC,6,3,10,4
Arizona,4,5,8,5
Utah,2,7,5,7
Colorado,1,8,4,8
Missouri,7,1,12,2
South Carolina,6,2,11,2
Georgia,5,3,8,5
Vanderbilt,4,4,9,4
Florida,3,5,4,8
Tennessee,2,6,5,7
Kentucky,0,8,2,10
Auburn,7,1,12,2
Alabama,7,1,11,2
LSU,5,3,10,3
Texas A&M,4,4,9,4
Mississippi State,3,5,7,6
Ole Miss,3,5,8,5
Arkansas,0,8,3,9
Louisiana-Lafayette,5,2,9,4
Arkansas State,5,2,8,5
Western Kentucky,4,3,8,4
South Alabama,4,3,6,6
Louisiana-Monroe,4,3,6,6
Troy,4,3,6,6
Texas State,2,5,6,6
Georgia State,0,7,0,12
Eastern Washington,8,0,12,3
Northern Arizona,7,1,9,3
Montana,6,2,10,3
Southern Utah,5,3,8,5
Montana State,5,3,7,5
Cal Poly,5,3,6,6
UC Davis,5,3,5,7
Sacramento State,4,4,5,7
Portland State,3,5,6,6
North Dakota,2,6,3,8
Weber State,1,7,2,10
Idaho State,1,7,3,9
Northern Colorado,0,8,1,11
Coastal Carolina,4,1,12,3
Liberty,4,1,8,4
Charleston Southern,3,2,10,3
Gardner-Webb,2,3,7,5
Presbyterian,1,4,3,8
Virginia Military Institute,1,4,2,10
Maine,7,1,10,3
Towson,6,2,13,3
New Hampshire,6,2,10,5
Villanova,5,3,6,5
Richmond,4,4,6,6
William & Mary,4,4,7,5
Delaware,4,4,7,5
Stony Brook,3,5,5,6
James Madison,3,5,6,6
Rhode Island,2,6,3,9
Albany,0,8,1,11
Abilene Christian,0,0,6,5
Incarnate Word,0,0,6,5
Monmouth,0,0,6,6
Charlotte,0,0,5,6
Houston Baptist,0,0,3,4
Harvard,6,1,9,1
Princeton,6,1,8,2
Dartmouth,5,2,6,4
Brown,3,4,6,4
Yale,3,4,5,5
Pennsylvania,3,4,4,6
Cornell,2,5,3,7
Columbia,0,7,0,10
Bethune-Cookman,7,1,10,3
South Carolina State,7,1,9,4
Delaware State,5,3,5,6
Morgan State,5,3,5,7
North Carolina A&T,4,4,7,4
Howard,4,4,6,6
Hampton,4,4,4,8
NC Central,3,5,5,7
Norfolk State,3,5,3,9
Florida A&M,2,6,3,9
Savannah State,0,8,1,11
North Dakota State,8,0,15,0
Youngstown State,5,3,8,4
South Dakota State,5,3,9,5
Southern Illinois,5,3,7,5
Missouri State,5,3,5,7
Illinois State,4,4,5,6
South Dakota,3,5,4,8
Northern Iowa,3,5,7,5
Western Illinois,2,6,4,8
Indiana State,0,8,1,11
Sacred Heart,4,2,10,3
Duquesne,4,2,7,4
Robert Morris,3,3,5,6
St. Francis U,3,3,5,6
Bryant,3,3,5,7
Central Connecticut State,2,4,4,8
Wagner,2,4,3,8
Eastern Illinois,8,0,12,2
Tennessee State,6,2,10,4
Jacksonville State,5,3,11,4
Tennessee-Martin,5,3,7,5
Murray State,4,4,6,6
Eastern Kentucky,4,4,6,6
Tennessee Tech,2,6,5,7
Southeast Missouri State,2,6,3,9
Austin Peay,0,8,0,12
Lafayette,4,1,5,7
Lehigh,3,2,8,3
Bucknell,3,2,6,5
Colgate,3,2,4,8
Holy Cross,1,4,3,9
Georgetown,1,4,2,9
Fordham,0,0,12,2
Marist,7,1,8,3
San Diego,7,1,8,3
Butler,7,1,9,4
Mercer,6,2,10,2
Dayton,5,3,7,4
Drake,5,3,6,5
Jacksonville,4,4,5,6
Morehead State,3,5,3,9
Campbell,2,6,3,9
Stetson,1,7,2,9
Valparaiso,1,7,1,10
Davidson,0,8,0,11
Chattanooga,6,2,8,4
Samford,6,2,8,5
Furman,6,2,8,6
Georgia Southern,4,4,7,4
Wofford,4,4,5,6
Citadel,4,4,5,7
Appalachian State,4,4,4,8
Elon,1,7,2,10
Western Carolina,1,7,2,10
Southeastern Louisiana,7,0,11,3
McNeese State,6,1,10,3
Sam Houston State,4,3,9,5
Central Arkansas,4,3,7,5
Northwestern State,3,4,6,6
Lamar,2,5,5,7
Nicholls State,1,6,4,8
Stephen F. Austin,1,6,3,9
Jackson State,8,1,8,4
Alcorn State,7,2,9,3
Alabama State,7,2,8,4
Alabama A&M,4,5,4,8
Mississippi Valley State,2,7,2,9
Southern University,7,2,9,4
Prairie View A&M,5,4,6,6
Arkansas-Pine Bluff,2,7,2,9
Texas Southern,2,7,2,9
Grambling State,1,8,1,11

