TEAM,Conference
East Carolina,American Athletic
UCF,American Athletic
Houston,American Athletic
Temple,American Athletic
South Florida,American Athletic
Memphis,American Athletic
Cincinnati,American Athletic
Tulane,American Athletic
Tulsa,American Athletic
SMU,American Athletic
Connecticut,American Athletic
Florida State,ACC
Clemson,ACC
Louisville,ACC
Boston College,ACC
Syracuse,ACC
Wake Forest,ACC
North Carolina State,ACC
Duke,ACC
Virginia,ACC
Pittsburgh,ACC
Georgia Tech,ACC
Miami (FL),ACC
Virginia Tech,ACC
North Carolina,ACC
Kansas State,Big 12
West Virginia,Big 12
Baylor,Big 12
Oklahoma State,Big 12
TCU,Big 12
Oklahoma,Big 12
Texas,Big 12
Texas Tech,Big 12
Iowa State,Big 12
Kansas,Big 12
Michigan State,Big Ten
Ohio State,Big Ten
Maryland,Big Ten
Rutgers,Big Ten
Michigan,Big Ten
Penn State,Big Ten
Indiana,Big Ten
Minnesota,Big Ten
Nebraska,Big Ten
Iowa,Big Ten
Northwestern,Big Ten
Wisconsin,Big Ten
Purdue,Big Ten
Illinois,Big Ten
Marshall,Conference USA
Middle Tennessee,Conference USA
Florida Atlantic,Conference USA
Florida International,Conference USA
UAB,Conference USA
Old Dominion,Conference USA
Western Kentucky,Conference USA
Louisiana Tech,Conference USA
Rice,Conference USA
UTEP,Conference USA
Southern Miss,Conference USA
UTSA,Conference USA
North Texas,Conference USA
Notre Dame,Independent
BYU,Independent
Navy,Independent
Army,Independent
Bowling Green,Mid-American
Akron,Mid-American
Ohio,Mid-American
Massachusetts,Mid-American
Buffalo,Mid-American
Miami (OH),Mid-American
Kent State,Mid-American
Toledo,Mid-American
Northern Illinois,Mid-American
Western Michigan,Mid-American
Central Michigan,Mid-American
Eastern Michigan,Mid-American
Ball State,Mid-American
San Diego State,Mountain West
San Jose State,Mountain West
Fresno State,Mountain West
Hawaii,Mountain West
UNLV,Mountain West
Nevada,Mountain West
Boise State,Mountain West
Colorado State,Mountain West
Air Force,Mountain West
Utah State,Mountain West
Wyoming,Mountain West
New Mexico,Mountain West
Oregon,Pac-12
Stanford,Pac-12
California,Pac-12
Washington,Pac-12
Oregon State,Pac-12
Washington State,Pac-12
USC,Pac-12
Arizona State,Pac-12
Arizona,Pac-12
Utah,Pac-12
UCLA,Pac-12
Colorado,Pac-12
Georgia,SEC
Missouri,SEC
Kentucky,SEC
South Carolina,SEC
Florida,SEC
Tennessee,SEC
Vanderbilt,SEC
Ole Miss,SEC
Mississippi State,SEC
Alabama,SEC
Auburn,SEC
LSU,SEC
Texas A&M,SEC
Arkansas,SEC
Georgia Southern,Sun Belt
Arkansas State,Sun Belt
Louisiana-Lafayette,Sun Belt
South Alabama,Sun Belt
Louisiana-Monroe,Sun Belt
Texas State,Sun Belt
Appalachian State,Sun Belt
Troy,Sun Belt
New Mexico State,Sun Belt
Idaho,Sun Belt
Georgia State,Sun Belt
Eastern Washington,FCS
Montana State,FCS
Montana,FCS
Cal Poly,FCS
Northern Arizona,FCS
Idaho State,FCS
Portland State,FCS
North Dakota,FCS
Sacramento State,FCS
Northern Colorado,FCS
Southern Utah,FCS
Weber State,FCS
UC Davis,FCS
Coastal Carolina,FCS
Presbyterian,FCS
Monmouth,FCS
Gardner-Webb,FCS
Liberty,FCS
Charleston Southern,FCS
Charlotte,FCS
Villanova,FCS
New Hampshire,FCS
Stony Brook,FCS
Delaware,FCS
Richmond,FCS
James Madison,FCS
Albany,FCS
William & Mary,FCS
Maine,FCS
Towson,FCS
Elon,FCS
Rhode Island,FCS
Harvard,FCS
Dartmouth,FCS
Princeton,FCS
Yale,FCS
Pennsylvania,FCS
Brown,FCS
Columbia,FCS
Cornell,FCS
Bethune-Cookman,FCS
Morgan State,FCS
Norfolk State,FCS
North Carolina A&T,FCS
NC Central,FCS
South Carolina State,FCS
Florida A&M,FCS
Delaware State,FCS
Hampton,FCS
Savannah State,FCS
Howard,FCS
North Dakota State,FCS
Illinois State,FCS
South Dakota State,FCS
Youngstown State,FCS
Southern Illinois,FCS
Indiana State,FCS
Missouri State,FCS
Northern Iowa,FCS
Western Illinois,FCS
South Dakota,FCS
Sacred Heart,FCS
Bryant,FCS
Wagner,FCS
Duquesne,FCS
Robert Morris,FCS
Central Connecticut State,FCS
St. Francis U,FCS
Jacksonville State,FCS
Eastern Kentucky,FCS
Eastern Illinois,FCS
Southeast Missouri State,FCS
Tennessee Tech,FCS
Tennessee-Martin,FCS
Austin Peay,FCS
Tennessee State,FCS
Murray State,FCS
Fordham,FCS
Colgate,FCS
Bucknell,FCS
Lafayette,FCS
Lehigh,FCS
Georgetown,FCS
Holy Cross,FCS
Jacksonville,FCS
Campbell,FCS
Dayton,FCS
San Diego,FCS
Drake,FCS
Butler,FCS
Morehead State,FCS
Marist,FCS
Stetson,FCS
Valparaiso,FCS
Davidson,FCS
Western Carolina,FCS
Chattanooga,FCS
Wofford,FCS
Samford,FCS
Furman,FCS
Mercer,FCS
Citadel,FCS
Virginia Military Institute,FCS
Southeastern Louisiana,FCS
Central Arkansas,FCS
Northwestern State,FCS
Stephen F. Austin,FCS
McNeese State,FCS
Sam Houston State,FCS
Lamar,FCS
Abilene Christian,FCS
Incarnate Word,FCS
Houston Baptist,FCS
Nicholls State,FCS
Alcorn State,FCS
Alabama State,FCS
Jackson State,FCS
Alabama A&M,FCS
Mississippi Valley State,FCS
Grambling State,FCS
Southern University,FCS
Texas Southern,FCS
Prairie View A&M,FCS
Arkansas-Pine Bluff,FCS
