Team,Score
Air Force,1495.659616
Akron,1397.306575
Alabama,2156.09261
Appalachian State,1394.501327
Arizona,1735.564716
Arizona State,1828.815301
Arkansas,1818.001733
Arkansas State,1583.912669
Army,1294.931954
Auburn,1827.610171
Ball State,1455.013076
Baylor,1997.775848
Boise State,1720.562117
Boston College,1563.995741
Bowling Green,1664.910423
Buffalo,1418.606503
BYU,1771.134967
California,1606.918982
Central Michigan,1510.952823
Charlotte,1310
Cincinnati,1694.118876
Clemson,2019.016482
Colorado,1483.099688
Colorado State,1503.286399
Connecticut,1414.550708
Duke,1657.619956
East Carolina,1618.206207
Eastern Michigan,1153.819938
Florida,1877.998588
Florida Atlantic,1334.810622
Florida International,1297.472542
Florida State,2051.292617
Fresno State,1435.694481
Georgia,1922.561192
Georgia Southern,1637.515228
Georgia State,1223.637349
Georgia Tech,1744.555743
Hawaii,1290.1768
Houston,1769.300038
Idaho,1151.407757
Illinois,1569.698867
Indiana,1615.944407
Iowa,1837.882981
Iowa State,1611.166831
Kansas,1328.545979
Kansas State,1803.677528
Kent State,1390.167165
Kentucky,1543.961246
Louisiana Tech,1577.669887
Louisiana-Lafayette,1435.10514
Louisiana-Monroe,1282.292234
Louisville,1774.333583
LSU,1946.193088
Marshall,1642.85242
Maryland,1599.080604
Massachusetts,1237.572783
Memphis,1673.746093
Miami (FL),1736.587771
Miami (OH),1208.704229
Michigan,1842.88978
Michigan State,2023.456414
Middle Tennessee,1482.452208
Minnesota,1683.591905
Mississippi State,1846.289569
Missouri,1802.070116
Navy,1743.270608
Nebraska,1789.741217
Nevada,1474.353157
New Mexico,1348.044604
New Mexico State,1123.81594
North Carolina,1763.356121
North Carolina State,1612.850121
North Texas,1299.772812
Northern Illinois,1671.129656
Northwestern,1746.000886
Notre Dame,1945.069658
Ohio,1488.667655
Ohio State,2093.681625
Oklahoma,2014.093757
Oklahoma State,1900.430308
Old Dominion,1269.447879
Ole Miss,1883.247272
Oregon,2070.546715
Oregon State,1569.390875
Penn State,1741.775307
Pittsburgh,1742.156143
Purdue,1410.688123
Rice,1467.134931
Rutgers,1598.831108
San Diego State,1588.57467
San Jose State,1438.737751
SMU,1386.177288
South Alabama,1384.461237
South Carolina,1739.728997
South Florida,1538.41997
Southern Miss,1517.304063
Stanford,1994.63755
Syracuse,1572.269249
TCU,1940.209372
Temple,1661.568248
Tennessee,1830.634001
Texas,1772.22709
Texas A&M,1881.370912
Texas State,1270.860536
Texas Tech,1718.741058
Toledo,1708.782904
Troy,1354.193834
Tulane,1300.058809
Tulsa,1445.434496
UCF,1451.889488
UCLA,1845.132569
UNLV,1281.467477
USC,1861.823849
Utah,1800.976726
Utah State,1640.395606
UTEP,1301.558797
UTSA,1366.807502
Vanderbilt,1608.058017
Virginia,1579.810204
Virginia Tech,1710.111637
Wake Forest,1443.12664
Washington,1789.797419
Washington State,1659.423765
West Virginia,1733.766748
Western Kentucky,1617.761959
Western Michigan,1484.197438
Wisconsin,1893.019583
Wyoming,1291.998703
