Team,Previous.Score,Score,Rank
Alabama,2196.444835,2196.444835,1
Michigan,2039.070062,2039.070062,2
Ohio State,2038.83422,2038.83422,3
Louisville,1994.648365,1994.648365,4
Western Michigan,1958.152334,1958.152334,5
Clemson,1948.203042,1948.203042,6
Wisconsin,1904.96624,1904.96624,7
Washington,1887.285326,1887.285326,8
Penn State,1874.103157,1874.103157,9
Washington State,1857.92019,1857.92019,10
LSU,1853.59853,1853.59853,11
Boise State,1851.596171,1851.596171,12
Troy,1846.910384,1846.910384,13
Colorado,1839.290158,1839.290158,14
USC,1835.949359,1835.949359,15
Texas A&M,1819.915123,1819.915123,16
Auburn,1818.687164,1818.687164,17
Florida State,1816.309316,1816.309316,18
Tennessee,1813.437309,1813.437309,19
San Diego State,1812.953837,1812.953837,20
Nebraska,1810.915871,1810.915871,21
Oklahoma,1804.914217,1804.914217,22
Toledo,1795.04415,1795.04415,23
Miami (FL),1779.368777,1779.368777,24
Stanford,1778.100322,1778.100322,25
Appalachian State,1774.629264,1774.629264,26
Western Kentucky,1774.544223,1774.544223,27
Northwestern,1764.112994,1764.112994,28
West Virginia,1761.63707,1761.63707,29
Florida,1753.442842,1753.442842,30
Wyoming,1747.254278,1747.254278,31
Tulsa,1745.671229,1745.671229,32
Houston,1743.485477,1743.485477,33
North Carolina State,1741.659195,1741.659195,34
BYU,1741.260599,1741.260599,35
South Florida,1740.253325,1740.253325,36
Temple,1738.76823,1738.76823,37
Oklahoma State,1737.952801,1737.952801,38
Iowa,1731.540249,1731.540249,39
Virginia Tech,1729.135172,1729.135172,40
Utah,1726.882433,1726.882433,41
Ole Miss,1721.609261,1721.609261,42
Louisiana Tech,1713.949638,1713.949638,43
North Carolina,1712.230435,1712.230435,44
UCF,1711.178686,1711.178686,45
Pittsburgh,1702.101077,1702.101077,46
Navy,1693.328346,1693.328346,47
Minnesota,1687.532685,1687.532685,48
TCU,1683.243543,1683.243543,49
Air Force,1678.506931,1678.506931,50
Old Dominion,1671.268618,1671.268618,51
Baylor,1664.285697,1664.285697,52
Memphis,1661.945171,1661.945171,53
Arkansas,1658.836841,1658.836841,54
Ohio,1658.104151,1658.104151,55
Texas,1649.282816,1649.282816,56
UCLA,1646.523541,1646.523541,57
Colorado State,1645.002424,1645.002424,58
Georgia,1637.730879,1637.730879,59
Notre Dame,1634.664727,1634.664727,60
Georgia Tech,1630.264704,1630.264704,61
Oregon,1626.701356,1626.701356,62
Kansas State,1626.406596,1626.406596,63
Mississippi State,1620.48654,1620.48654,64
Indiana,1613.364055,1613.364055,65
Wake Forest,1611.77945,1611.77945,66
California,1605.703073,1605.703073,67
Maryland,1602.561963,1602.561963,68
Arkansas State,1597.816066,1597.816066,69
Northern Illinois,1597.553321,1597.553321,70
Kentucky,1590.910509,1590.910509,71
Texas Tech,1588.147372,1588.147372,72
Arizona State,1587.067622,1587.067622,73
UTSA,1581.357311,1581.357311,74
Middle Tennessee,1580.782543,1580.782543,75
SMU,1578.945357,1578.945357,76
New Mexico,1567.950414,1567.950414,77
Miami (OH),1567.834864,1567.834864,78
Eastern Michigan,1565.745522,1565.745522,79
Utah State,1558.380981,1558.380981,80
Idaho,1551.759294,1551.759294,81
Akron,1547.937868,1547.937868,82
Duke,1534.789907,1534.789907,83
Vanderbilt,1532.050564,1532.050564,84
Southern Miss,1527.082367,1527.082367,85
Missouri,1526.262515,1526.262515,86
Central Michigan,1520.303065,1520.303065,87
Kent State,1516.892776,1516.892776,88
South Carolina,1515.190662,1515.190662,89
Boston College,1512.007395,1512.007395,90
Michigan State,1504.966884,1504.966884,91
Virginia,1503.616352,1503.616352,92
Oregon State,1500.747297,1500.747297,93
Syracuse,1498.521216,1498.521216,94
Army,1495.848526,1495.848526,95
South Alabama,1489.383394,1489.383394,96
Georgia Southern,1487.350639,1487.350639,97
Ball State,1485.389794,1485.389794,98
Louisiana-Lafayette,1482.42035,1482.42035,99
North Texas,1480.630815,1480.630815,100
Tulane,1476.073655,1476.073655,101
Iowa State,1472.496473,1472.496473,102
Louisiana-Monroe,1470.19151,1470.19151,103
Cincinnati,1466.649668,1466.649668,104
Arizona,1465.490764,1465.490764,105
Hawaii,1453.838561,1453.838561,106
Connecticut,1453.346088,1453.346088,107
Charlotte,1434.327087,1434.327087,108
Illinois,1431.543554,1431.543554,109
East Carolina,1430.008384,1430.008384,110
Bowling Green,1425.492167,1425.492167,111
UNLV,1423.67075,1423.67075,112
Georgia State,1412.530801,1412.530801,113
Marshall,1407.916666,1407.916666,114
Florida Atlantic,1398.956061,1398.956061,115
Florida International,1389.284861,1389.284861,116
Rutgers,1376.554616,1376.554616,117
Purdue,1363.751841,1363.751841,118
Massachusetts,1359.392539,1359.392539,119
New Mexico State,1357.319996,1357.319996,120
San Jose State,1352.487424,1352.487424,121
Nevada,1349.8555,1349.8555,122
UTEP,1346.780373,1346.780373,123
Buffalo,1311.956802,1311.956802,124
Rice,1298.407788,1298.407788,125
Fresno State,1253.208894,1253.208894,126
Kansas,1230.662205,1230.662205,127
Texas State,1154.478956,1154.478956,128
