"TEAM","ELO","GAMES","RANK"
"Hawaii",1130.95747054655,10,100
"Appalachian State",1650.29661558427,10,34
"Indiana",1332.23179846397,10,77
"Oregon State",1441.42452051379,10,64
"Rice",637.42344631169,9,128
"South Carolina",1415.78665529545,10,67
"Tulane",1149.06174538163,9,98
"Charlotte",997.943155099096,10,117
"Ball State",1110.54727548286,9,105
"Colorado State",1374.32606346415,9,72
"Kansas State",1604.68688714027,9,39
"Toledo",1581.9845223708,10,41
"Army",1196.19583964434,10,94
"Boise State",1933.93392203846,10,8
"Bowling Green",1000.98079157665,10,116
"BYU",1503.5310772861,10,50
"Fresno State",663.570531248055,9,127
"UCLA",1545.07040114757,11,48
"Clemson",2098.09800288272,9,4
"Georgia Tech",1560.93614318368,10,46
"Georgia",1500.3097995105,9,52
"Kent State",1102.66410493313,10,107
"LSU",1753.04626600409,8,24
"Louisiana Tech",1448.40812350236,10,63
"Massachusetts",1026.1304409143,10,113
"Miami (OH)",1038.77226854075,10,112
"Missouri",1249.03807017993,10,88
"New Mexico State",953.55405459337,9,120
"Northern Illinois",1171.68034681234,9,96
"Oklahoma",1705.94020955094,10,29
"Rutgers",1226.08394472662,10,93
"San Jose State",994.46871566381,10,118
"South Alabama",1296.20364417446,8,82
"USC",1783.99128444603,10,20
"SMU",1271.0508744899,10,86
"Southern Miss",1313.15545464064,10,79
"Texas State",1012.03243321555,9,114
"Western Michigan",1893.75311858385,10,13
"Notre Dame",1241.53770777911,10,91
"Ole Miss",1585.99085641622,10,40
"Louisville",1907.42104374269,10,11
"Maryland",1567.81465189285,10,44
"Akron",1401.75429823027,10,69
"Arkansas State",1247.10093641973,8,90
"Arkansas",1625.77591239083,10,36
"Boston College",1368.22332205857,10,73
"California",1492.9813314862,10,54
"UCF",1378.07820119205,9,70
"Central Michigan",1510.4520278105,10,49
"Cincinnati",1271.86363209072,9,85
"Connecticut",1186.87821586605,10,95
"Eastern Michigan",1298.96198584839,10,81
"Florida Atlantic",780.273558353158,9,126
"Georgia Southern",1353.37712553713,10,76
"Georgia State",924.998172099255,9,121
"Idaho",1354.00546198327,10,75
"Iowa State",1128.86248228731,10,101
"Kentucky",1366.04406177039,10,74
"Middle Tennessee",1477.07971681846,10,57
"North Carolina",1577.32143718209,9,42
"UNLV",1078.11105333978,10,108
"Nevada",990.389927980873,10,119
"New Mexico",1104.91141795422,10,106
"North Carolina State",1561.73544543382,10,45
"Louisiana-Monroe",1044.60866368946,9,111
"Ohio",1280.64486117154,10,84
"Old Dominion",1376.06338027013,10,71
"Penn State",1837.33175900172,10,18
"Texas Tech",1483.1717241286,9,56
"UTEP",867.40815823401,9,124
"UTSA",1123.83734560453,9,102
"Troy",1779.17096114418,9,21
"Tulsa",1647.18458877619,10,35
"Utah State",1289.06800356346,10,83
"Virginia Tech",1742.12634867274,10,27
"Virginia",1122.6785600227,10,103
"Wake Forest",1498.90556060956,10,53
"Washington State",1873.2487280887,9,15
"Western Kentucky",1463.62783333935,10,61
"Wyoming",1475.67815584884,10,58
"Houston",1743.07269519146,10,25
"Alabama",2321.17818911591,10,1
"Arizona State",1677.94513984164,9,33
"Baylor",1686.8504600581,8,32
"Colorado",1918.99312756156,11,10
"East Carolina",1122.20432242146,9,104
"Florida International",895.318297524599,10,123
"Florida State",1753.12830053696,9,23
"Kansas",903.699357197922,9,122
"Miami (FL)",1800.02572917093,10,19
"Michigan State",1247.70731458274,10,89
"Mississippi State",1329.95084130244,10,78
"North Texas",1052.41343354202,10,110
"Ohio State",2256.23425394286,10,2
"Oregon",1473.39814636276,10,60
"Pittsburgh",1742.18570627723,10,26
"San Diego State",1622.54962115758,9,37
"South Florida",1554.23221873471,10,47
"Temple",1500.99427039292,10,51
"Texas A&M",2026.02050010634,9,5
"Navy",1475.19965995935,9,59
"Vanderbilt",1420.99052714195,10,66
"Buffalo",789.645142949401,9,125
"Duke",1267.62017660777,10,87
"Texas",1429.2109721649,10,65
"Utah",1709.80877417446,10,28
"Florida",1759.5067352781,9,22
"Iowa",1690.35918528621,9,31
"Nebraska",1898.21337979117,10,12
"Oklahoma State",1614.30497773803,9,38
"Syracuse",1240.69261978886,10,92
"TCU",1455.65664868655,8,62
"Wisconsin",1852.60964386599,10,17
"Louisiana-Lafayette",1141.61450524231,8,99
"Stanford",1921.57264651843,10,9
"Air Force",1484.74953421276,9,55
"Washington",2006.19307445142,10,6
"Illinois",1166.75925243929,10,97
"Marshall",1007.61289605503,10,115
"Memphis",1406.26513038742,9,68
"Minnesota",1695.71592392556,10,30
"Northwestern",1573.34232404201,10,43
"Purdue",1055.32010516582,9,109
"Tennessee",1945.53696807375,10,7
"Arizona",1300.49627589462,9,80
"Auburn",1893.42306578885,10,14
"Michigan",2230.78564462264,10,3
"West Virginia",1864.64772562027,8,16
