"Team","id","score","rank"
"Hawaii",1,18.6755355865138,95
"Appalachian State",2,31.2306584834365,66
"Indiana",3,40.7641053269478,53
"Oregon State",7,10.3526919281669,118
"Rice",8,6.10701849247893,128
"South Carolina",9,27.9353892115434,71
"Tulane",13,21.4396739215377,87
"Charlotte",17,12.840220492822,111
"Ball State",19,16.9914826831541,99
"Colorado State",22,19.0276276574029,92
"Kansas State",24,24.7438536969918,76
"Toledo",27,33.794959438473,61
"Army",28,48.3219627122568,45
"Boise State",33,108.905136077625,19
"Bowling Green",34,12.840220492822,112
"BYU",35,28.7035836886161,69
"Fresno State",36,12.840220492822,114
"UCLA",38,42.1709757514957,52
"Clemson",39,436.935532021467,1
"Georgia Tech",44,46.39612980648,47
"Georgia",45,68.3423034969757,32
"Kent State",47,12.840220492822,110
"LSU",49,54.367769984842,39
"Louisiana Tech",50,11.2270144655404,116
"Massachusetts",51,7.66060953421768,123
"Miami (OH)",52,6.10701849247961,127
"Missouri",53,35.6373896867231,57
"New Mexico State",56,11.0851630070288,117
"Northern Illinois",59,12.2362948630312,115
"Oklahoma",61,27.2775401552347,72
"Rutgers",64,22.2756297564557,85
"San Jose State",65,9.56309974663029,120
"South Alabama",67,65.5752975323708,33
"USC",72,84.7928273212779,26
"SMU",74,14.3959447183508,104
"Southern Miss",75,31.9773896993289,65
"Texas State",77,24.1937407682582,77
"Western Michigan",83,199.981297383421,7
"Notre Dame",85,22.7211726983464,84
"Ole Miss",86,96.3888032160121,23
"Louisville",87,187.043259966411,8
"Maryland",88,80.0911888681984,28
"Akron",89,25.0976545017244,75
"Arkansas State",90,6.53540066945647,125
"Arkansas",91,57.926861855752,37
"Boston College",94,37.0959599431647,56
"California",96,62.9028606153705,35
"UCF",97,48.4929876254326,44
"Central Michigan",98,43.1723150942911,51
"Cincinnati",99,23.5349011497835,80
"Connecticut",100,13.0861692597729,109
"Eastern Michigan",102,39.3006020494999,54
"Florida Atlantic",103,12.840220492822,113
"Georgia Southern",104,80.8334387702647,27
"Georgia State",105,6.53540066945647,126
"Idaho",108,16.967288117434,100
"Iowa State",111,9.49289403293139,121
"Kentucky",113,18.003157392527,96
"Middle Tennessee",115,43.9102207471775,49
"North Carolina",117,78.1463410016331,29
"UNLV",118,17.8597917544825,97
"Nevada",119,26.627770249093,73
"New Mexico",120,18.7970311624237,94
"North Carolina State",122,130.823216977612,10
"Louisiana-Monroe",124,9.94015485147684,119
"Ohio",125,22.9425220341816,83
"Old Dominion",126,28.4690398263857,70
"Penn State",127,49.402152821305,43
"Texas Tech",130,45.3194925563914,48
"UTEP",131,9.10448151518326,122
"UTSA",132,14.2385015742149,108
"Troy",133,71.9883088687097,30
"Tulsa",134,37.2535977101359,55
"Utah State",135,15.8385199254817,102
"Virginia Tech",136,134.67812121409,9
"Virginia",137,25.8581412275938,74
"Wake Forest",138,87.4773508100061,24
"Washington State",139,30.1853487555873,67
"Western Kentucky",140,20.7045083766344,89
"Wyoming",141,23.2630416267511,82
"Houston",149,117.75125145044,16
"Alabama",150,255.008890256434,3
"Arizona State",151,127.926173297302,12
"Baylor",152,109.119271433847,18
"Colorado",153,52.3642111248411,40
"East Carolina",155,85.4707788583209,25
"Florida International",156,7.63693191312717,124
"Florida State",157,121.679107604245,14
"Kansas",159,14.2385015742149,107
"Miami (FL)",160,125.374084316769,13
"Michigan State",161,28.9822490331593,68
"Mississippi State",162,23.360983911617,81
"North Texas",165,15.1065808169545,103
"Ohio State",167,130.097712206206,11
"Oregon",168,21.5062084656126,86
"Pittsburgh",169,32.0087693530507,64
"San Diego State",170,69.2434031078205,31
"South Florida",171,62.0719142289577,36
"Temple",172,32.0255249197914,63
"Texas A&M",173,222.302707703992,6
"Navy",174,47.4695524231721,46
"Vanderbilt",175,33.8436682157559,59
"Buffalo",176,33.5580486598861,62
"Duke",177,16.7985092967752,101
"Texas",178,19.0162322063219,93
"Utah",179,63.3201988644238,34
"Florida",181,57.0679320381892,38
"Iowa",182,20.8624640199736,88
"Nebraska",183,112.474613284871,17
"Oklahoma State",184,51.1281220344258,41
"Syracuse",186,17.6532575613351,98
"TCU",187,23.7770958188076,79
"Wisconsin",190,102.302335187817,21
"Louisiana-Lafayette",193,33.8420532472251,60
"Stanford",194,120.340552551248,15
"Air Force",195,107.401394503807,20
"Washington",196,223.76124523718,5
"Tennessee",197,338.236703265538,2
"Illinois",198,14.2385015742149,106
"Memphis",199,43.7685601070541,50
"Northwestern",201,24.0147129750278,78
"Purdue",202,20.1372362072223,90
"Minnesota",203,35.5134693308438,58
"Marshall",206,14.2385015742149,105
"Arizona",207,19.0514188438934,91
"Auburn",208,49.8129714708736,42
"Michigan",209,242.057554840979,4
"West Virginia",210,97.8122894047736,22
